scan,25a,25b,100aa,100ab,100ac,100ba,100bb,100bc,250aaa,250aab,250aac,250aba,250abb,250abc,250aca,250acb,250acc,250baa,250bab,250bac,250bba,250bbb,250bbc,250bca,250bcb,250bcc
0.00039193,0.00538321,0.0023196,0.06049552,0.00042015,0.10528124,0.14786553,4.377E-05,0.00018382,0.01800809,0.04341179,2.093E-05,1.186E-05,0.02158418,9.77E-06,9.77E-06,4.638E-05,0.00499306,4.53E-06,0.00016252,0.08299569,6.28E-06,0.00012904,0.00081677,0.0002232,0.00010986,0.0058332
0.02186389,0.00121669,0.00546199,6.56E-06,0.01165269,0.00337654,0.08354268,0.0194299,0.00582744,0.02389675,0.01915025,2.127E-05,7.673E-05,0.00605501,0.00211971,0.0001803,3.278E-05,0.02293524,0.01384122,1.953E-05,0.00010637,5.93E-06,0.06355598,3.976E-05,6.98E-06,3.034E-05,2.79E-06
0.00517903,0.00115542,0.00252967,0.00669838,0.02000762,0.00250998,9.629E-05,0.06274728,0.01445152,7.219E-05,4.499E-05,0.00873028,1.046E-05,0.02973762,0.00010009,0.00933187,5.58E-06,0.00014369,1.74E-06,3.069E-05,9.381E-05,1.709E-05,0.00037177,0.00559117,6.63E-06,4.19E-06,0.00013532
0.00369531,0.00160183,0.00380764,0.00111603,1.094E-05,0.03771752,0.01333112,0.00033481,0.0063767,0.00902881,0.00407829,0.0488537,4.673E-05,0.00426766,0.02085878,4.708E-05,0.00196591,0.00217202,0.00010497,6.487E-05,6.068E-05,0.02409972,0.01038196,0.0028207,4.19E-06,0.00169702,0.00638493
0.00806248,0.00064774,0.00074402,1.094E-05,0.00041578,0.00032606,4.814E-05,0.01048633,0.0063592,2.302E-05,0.00069192,5.999E-05,6.696E-05,2.616E-05,0.00037526,0.00495644,0.03180048,0.00408387,0.00962447,0.00117703,0.00010428,9.381E-05,4.638E-05,3.557E-05,0.01460777,0.00908844,0.04791102
0.00355533,0.00029761,0.00042891,0.02795114,1.751E-05,0.00188194,9.629E-05,0.02414788,0.0001488,3.069E-05,4.604E-05,3.49E-06,4.708E-05,3.976E-05,4.534E-05,0.02850967,2.651E-05,0.00104137,5.231E-05,0.00421256,3.49E-06,0.00203705,1.221E-05,0.00036131,0.00638702,9.07E-06,8.265E-05
0.01822457,0.00329995,0.01567697,0.00012473,0.00074183,0.00067181,0.00941625,0.00022539,0.04674425,7.812E-05,3.49E-06,0.00971654,0.00028563,6.591E-05,0.00096604,0.00461955,3.243E-05,0.00029504,2.964E-05,2.162E-05,0.01077151,0.0001409,3.662E-05,0.00619556,0.00869087,0.00164506,0.03309226
0.00064388,0.00140051,0.01347117,0.008565,8.534E-05,0.00640296,0.01319106,1.751E-05,4.377E-05,7E-07,0.00471337,0.00015694,0.00906891,0.00618928,0.00433602,0.00762474,0.04623388,0.00341636,3.941E-05,0.01097937,0.00133327,3.069E-05,0.01417637,2.79E-06,0.00030899,3.278E-05,0.00167296
0.03479746,0.01239452,0.00570708,4.814E-05,1.751E-05,0.07327518,3.939E-05,0.00181848,0.03322494,0.00010567,9.172E-05,0.01580713,0.0013134,0.00268399,9.8E-05,4.88E-06,0.01406337,0.00165622,0.00013671,0.00010463,0.00409573,0.0001109,5.93E-06,2.406E-05,1.116E-05,0.04205027,3.069E-05
0.00153971,0.00068275,0.00048143,0.00034794,0.00872037,0.00484927,2.188E-05,3.72E-05,0.00868317,0.00012939,5.231E-05,0.0015073,1.74E-06,2.825E-05,0.05296791,1.74E-06,2.79E-06,0.00525881,0.00100231,3.976E-05,3.104E-05,2.86E-05,1.709E-05,0.00167435,0.00857857,0.00072017,0.00714381
